"","Nursery 1 ","Nursery 2 ","Reception ","Year Group 1 ","Year Group 2 ","Year Group 3 ","Year Group 4 ","Year Group 5 ","Year Group 6 ","Year Group 7 ","Year Group 8 ","Year Group 9 ","Year Group 10 ","Year Group 11 ","Year Group 12 ","Year Group 13 ","Year Group 14 "
"","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)","Primary schools (6)"
"Isle of Anglesey (1)",".",525,665,675,720,645,685,690,660,".",".",".",".",".",".",".","."
"Gwynedd (1)",".",1160,1315,1215,1160,1200,1155,1230,1270,".",".",".",".",".",".",".","."
"Conwy (1)",".",1085,1100,1055,1040,1040,1030,1110,1140,".",".",".",".",".",".",".","."
"Denbighshire (1)",15,1020,1015,1030,1010,960,1000,1080,1000,".",".",".",".",".",".",".","."
"Flintshire (1)",55,1605,1660,1680,1730,1575,1620,1630,1665,".",".",".",".",".",".",".","."
"Wrexham (1)",75,1555,1610,1540,1470,1430,1350,1445,1505,5,".",".","*","*",".",".","."
"Powys (2)",215,875,1265,1360,1330,1300,1295,1290,1355,".",".",".",".",".",".",".","."
"Ceredigion (2)",".",255,840,660,670,670,625,670,680,".",".",".",".",".",".",".","."
"Pembrokeshire (2)",320,1155,1300,1275,1260,1235,1210,1265,1330,".",".",".",".",".",".",".","."
"Carmarthenshire (2)",265,1440,1955,1785,1835,1825,1850,1845,1875,"*",".",".","*","*","*","*","*"
"Swansea (2)",835,2540,2535,2455,2470,2455,2395,2440,2520,"*",".",".",".",".",".",".","."
"Neath Port Talbot (2)",510,1460,1520,1585,1425,1355,1360,1425,1435,".",".",".",".",".",".",".","."
"Bridgend (3)",275,1430,1480,1560,1495,1460,1415,1580,1490,".",".",".",".",".",".",".","."
"Vale of Glamorgan (3)",395,1170,1455,1470,1405,1450,1340,1400,1495,".",".",".",".",".",".",".","."
"Rhondda Cynon Taf (3)",845,2465,2725,2710,2585,2670,2385,2460,2500,".",".",".",".",".",".",".","."
"Merthyr Tydfil (3)",65,590,705,685,635,640,600,615,665,".",".",".",".",".",".",".","."
"Caerphilly (4)",515,2045,2050,2010,2085,1990,1950,1950,2035,".",".",".",".",".",".",".","."
"Blaenau Gwent (4)",200,705,800,690,760,665,700,720,755,".",".",".",".",".",".",".","."
"Torfaen (4)",".",725,1160,1085,965,905,980,1015,955,".",".",".",".",".",".",".","."
"Monmouthshire (4)",85,390,865,865,905,910,845,865,920,".",".",".",".",".",".",".","."
"Newport (4)",180,1155,1655,1715,1645,1655,1655,1600,1730,".",".",".",".",".",".",".","."
"Cardiff (3)",745,3275,3880,3745,3505,3490,3380,3445,3380,".",".",".",".",".",".",".","."
"Wales (5)",5590,28615,33555,32835,32115,31515,30830,31770,32350,5,".",".","*","*","*","*","*"


